HI,PGA,Vmax/amax,ASI,TSIGN,TBRAC,PP,CAV,SED,TUD,EPA,PGV,PGD,Ia,Htot,ecc_tot,Vw1,Vw2,class_3
0.499184,0.89055,0.067531,0.864659,0.091642,0.234843,0.247298,0.483798,0.107997,0.370139,0.870656,0.3993,0.078535,0.681375,0,0,0.948052,0.95,C
0.798245,0.873114,0.175027,0.668237,0.099596,0.2683,0.131024,0.493863,0.31117,0.409047,0.682777,0.622134,0.594646,0.7589,0,0,0.948052,0.95,C
0.033759,0.055416,0.104363,0.064015,0.91083,0,0.128825,0.13114,0.003317,0,0.063685,0.024358,0.097189,0.011103,0,0,0.948052,0.95,A
0.179334,0.212687,0.190127,0.244956,0.160513,0.148842,0.247298,0.136833,0.015123,0.090362,0.246526,0.155811,0.069116,0.051096,0,0,0.948052,0.95,A
0.293987,0.12773,0.568848,0.154882,0.629125,0.483017,0.500829,0.287858,0.053857,0.130351,0.155611,0.21467,0.123916,0.069008,0,0,0.948052,0.95,A
0.676602,0.904747,0.131562,0.810557,0.154653,0.320025,0.378169,0.493992,0.183178,0.372518,0.813501,0.548133,0.221618,0.522392,0,0,0.948052,0.95,C
0.010256,0.020665,0.169561,0.027471,0.22902,0,0.213459,0.018171,0.000138,0,0.027406,0.009522,0.004164,0.001053,0,0,0.948052,0.95,A
0.019329,0.013132,0.416019,0.019112,0.689751,0,0.195436,0.048506,0.001705,0,0.019143,0.015242,0.018827,0.001887,0,0,0.948052,0.95,A
0.074127,0.040437,0.379787,0.053245,0.586178,0,0.351571,0.127026,0.006009,0,0.053224,0.046891,0.017693,0.013086,0,0,0.948052,0.95,A
0.146072,0.134162,0.249358,0.152392,0.748718,0.504922,0.383295,0.281671,0.021481,0.077925,0.153012,0.116694,0.045769,0.051054,0,0,0.948052,0.95,A
0,0,0.568314,0,0.30652,0,0.813419,0,0,0,0,0,0,0,0,0,0.948052,0.95,A
0.033824,0.064207,0.09793,0.081176,0.424554,0.034215,0.083882,0.111712,0.001756,0.003098,0.081785,0.02807,0.031572,0.01366,0,0,0.948052,0.95,A
0.018205,0.010919,0.475551,0.01069,0.121746,0,1,0.006926,0.000274,0,0.010767,0.014688,0.003812,0.000467,0,0,0.948052,0.95,A
0.12125,0.184918,0.182461,0.177563,0.072403,0.047418,0.391194,0.078531,0.006438,0.040271,0.179616,0.131279,0.02752,0.02695,0,0,0.948052,0.95,A
0.035559,0.125003,0.073364,0.143779,0,0.017858,0.187647,0.028218,0.00073,0.018758,0.142213,0.052467,0.004666,0.008982,0,0,0.948052,0.95,A
0.525322,0.341383,0.301323,0.513434,0.294368,0.354822,0.204596,0.467561,0.160747,0.557903,0.509226,0.347177,0.152284,0.312759,0,0,0.948052,0.95,A
0.521384,0.301802,0.571881,0.362057,0.625252,0.582175,0.203006,0.557335,0.390203,0.417951,0.36313,0.509504,0.762245,0.263137,0,0,0.948052,0.95,A
